Index	Topic	StartVerseId	EndVerseId	Votes	PassageLength	UsableRange	VotesPercentage
381139	speaking the truth in love	62003018		7846	1	False	0.020862416009232006
371843	signs of the end times	55003001	55003005	7200	5	True	0.023930919412628877
371844	signs of the end times	27012004		6435	1	False	0.021388259225037058
371845	signs of the end times	40024007		6357	1	False	0.021129007598066914
371846	signs of the end times	40024001	40024051	6266	51	True	0.020826547366601743
318338	prayer	41011024		4944	1	False	0.02401328890745364
318339	prayer	45008026		4595	1	False	0.02231817607802376
318340	prayer	59005016		4506	1	False	0.021885898021235053
318341	prayer	50004006		4494	1	False	0.021827613339420845
170772	gods timing	21003001		5830	1	False	0.03904261873509952
170773	gods timing	35002003		5586	1	False	0.037408588036752295
170774	gods timing	23040031		4796	1	False	0.03211807880849696
170775	gods timing	19027014		4112	1	False	0.02753743537542525
170776	gods timing	20003005	20003006	3993	2	True	0.026740510567624762
170777	gods timing	48006009		3856	1	False	0.025823042511585546
170778	gods timing	19031015		3794	1	False	0.025407837989874366
170779	gods timing	21003011		3786	1	False	0.025354263212879376
170780	gods timing	61003008		3644	1	False	0.02440331092121829
170781	gods timing	21008006		3639	1	False	0.02436982668559642
170782	gods timing	25003025	25003026	3274	2	True	0.02192547748519997
44123	bitterness	49004031		10785	1	False	0.03570104471485508
44124	bitterness	58012015		10249	1	False	0.033926750791149714
44125	bitterness	49004031	49004032	7752	2	True	0.025661056896574552
44126	bitterness	44008023		7436	1	False	0.02461501794155423
44127	bitterness	40006014	40006015	6876	2	True	0.022761278021265045
44128	bitterness	49004026		6794	1	False	0.022489837532936985
44129	bitterness	58012014	58012015	6444	2	True	0.021331250082756246
44130	bitterness	45003014		6094	1	False	0.020172662632575507
214406	inner healing	19147003		3379	1	False	0.024084448816091463
397697	taking care of yourself	46006019	46006020	2998	2	True	0.02613638344986313
397698	taking care of yourself	64001002		2352	1	False	0.0205045943542622
397699	taking care of yourself	54005008		2335	1	False	0.020356389378062178
17425	assumption	62004001		2156	1	False	0.022834145308197416
17426	assumption	40007001		2110	1	False	0.022346960389747934
17427	assumption	20018002		1971	1	False	0.02087481465791146
17428	assumption	01003015		1958	1	False	0.02073713196356704
278821	moving forward	47005017		3023	1	False	0.02755119710543824
278822	moving forward	23043018		2999	1	False	0.027332464478732808
278823	moving forward	20003005	20003006	2715	2	True	0.024744128396051876
278824	moving forward	19032008		2660	1	False	0.024242866126518596
278825	moving forward	23043018	23043019	2546	2	True	0.0232038861496678
278826	moving forward	50003012	50003014	2422	3	True	0.022073767578356406
278827	moving forward	24029011		2358	1	False	0.02149048057380859
278828	moving forward	43014006		2274	1	False	0.020724916380339582
415748	the red moon	44002020		9088	1	False	0.03581576634626374
415749	the red moon	29002031		8756	1	False	0.03450735586794513
415750	the red moon	40024029		6981	1	False	0.027512089003440487
415751	the red moon	66006012		5994	1	False	0.02362232652723425
381730	speaking things into existence	45004017		6585	1	False	0.03217562958692062
381731	speaking things into existence	20018021		6577	1	False	0.032136539983777815
381732	speaking things into existence	23055011		5054	1	False	0.024694856785466485
381733	speaking things into existence	40021022		4618	1	False	0.02256447341418366
381734	speaking things into existence	41011022	41011024	4261	3	True	0.02082009987393603
381735	speaking things into existence	41011023		4236	1	False	0.02069794486411477
194704	holiness	58012014		8288	1	False	0.02430819316332067
194705	holiness	47007001		7929	1	False	0.023255268290536875
194706	holiness	60002009		7106	1	False	0.020841460016717748
252664	loving each other	60004008		6342	1	False	0.025181555761144486
126033	faith in god	58011001		8372	1	False	0.02835524666896977
126034	faith in god	58011006		8006	1	False	0.02711563602863975
126035	faith in god	45010017		7456	1	False	0.025252833153826874
1627	abomination	03018022		8687	1	False	0.022684127377890353
1628	abomination	03020013		8203	1	False	0.02142027131125067
388884	strangers	58013002		6877	1	False	0.024809607815549566
388885	strangers	40025035		6584	1	False	0.02375257493930178
360911	self defense	02022002	02022003	3785	2	True	0.03561883610630129
360912	self defense	19144001		2864	1	False	0.026951742829180156
360913	self defense	45012019		2853	1	False	0.026848227057140708
360914	self defense	42022036		2707	1	False	0.02547429044643529
360915	self defense	42011021		2704	1	False	0.025446058872242716
360916	self defense	19082004		2679	1	False	0.02521079575397124
360917	self defense	54005008		2652	1	False	0.024956711586238047
360918	self defense	45013004		2499	1	False	0.023516901302416623
360919	self defense	40005038	40005039	2206	2	True	0.020759617556274937
360920	self defense	20025026		2195	1	False	0.02065610178423549
360921	self defense	40026052	40026054	2138	3	True	0.020119701874576526
58688	challenges	59001002	59001004	3510	3	True	0.02356163280101496
58689	challenges	50004013		3416	1	False	0.02293063750662881
407914	the euphrates river	66016012		5023	1	False	0.06237504501483938
407915	the euphrates river	66009014		4502	1	False	0.05590532603161594
407916	the euphrates river	01015018		3905	1	False	0.048491847657365666
407917	the euphrates river	01002010	01002014	2425	5	True	0.03011337530579046
407918	the euphrates river	23011015		2413	1	False	0.029964360665102014
407919	the euphrates river	01002014		2300	1	False	0.0285611394652858
407920	the euphrates river	06001004		2272	1	False	0.028213438637012752
407921	the euphrates river	05001007		2171	1	False	0.026959232077884986
407922	the euphrates river	66016012	66016015	2110	4	True	0.02620174098771871
407923	the euphrates river	27010004		1991	1	False	0.02472401246755827
407924	the euphrates river	66001001	66001020	1775	20	True	0.02204174893516621
407925	the euphrates river	66001001		1677	1	False	0.02082479603621056
193002	helping those in need	20019017		7784	1	False	0.02976934873812993
193003	helping those in need	44020035		7357	1	False	0.02813631791706345
193004	helping those in need	05015011		6524	1	False	0.02495056926613048
193005	helping those in need	20022009		6285	1	False	0.024036530937711537
193006	helping those in need	48006002		6182	1	False	0.023642614838016347
193007	helping those in need	40005042		5925	1	False	0.022659736802854553
193008	helping those in need	42006038		5787	1	False	0.02213196571782604
193009	helping those in need	58013016		5738	1	False	0.021944568738359396
187896	healing the sick	02015026		4417	1	False	0.023805160928708474
187897	healing the sick	64001002		4149	1	False	0.022360790738784574
187898	healing the sick	59005014	59005015	4004	2	True	0.021579321792743657
339184	refiners fire	38013009		5995	1	False	0.03750250225202682
339185	refiners fire	23048010		5682	1	False	0.035544490041036936
339186	refiners fire	60001007		5421	1	False	0.03391177059353418
339187	refiners fire	20017003		5095	1	False	0.0318724351916725
339188	refiners fire	19066010		4599	1	False	0.02876964267841057
339189	refiners fire	18023010		4083	1	False	0.025541737563807426
339190	refiners fire	23001025		3514	1	False	0.021982284055650086
339191	refiners fire	39003003		3484	1	False	0.021794615153638276
339192	refiners fire	60001006		3219	1	False	0.02013687318586728
414092	the ocean	19008008		3307	1	False	0.0208601418010244
259073	man and woman	01001027		9810	1	False	0.024040641181789887
286897	newborn baby	24001005		7280	1	False	0.042951372909955515
286898	newborn baby	19127003		5728	1	False	0.03379470659728368
286899	newborn baby	19127003	19127005	4766	3	True	0.028118989462753843
286900	newborn baby	59001017		4554	1	False	0.026868207724167228
286901	newborn baby	40019014		4397	1	False	0.02594192124794978
286902	newborn baby	20022006		4257	1	False	0.025115933307373713
286903	newborn baby	21011005		4088	1	False	0.024118847864821175
286904	newborn baby	09001027	09001028	3477	2	True	0.020514000495592766
286905	newborn baby	19008002		3432	1	False	0.02024850437183617
145734	fortune tellers	03019031		3413	1	False	0.029120911937611453
145735	fortune tellers	03020006		3319	1	False	0.028318870999394202
145736	fortune tellers	23008019		2951	1	False	0.02517896604977773
145737	fortune tellers	03020027		2949	1	False	0.0251619013489646
145738	fortune tellers	12021006		2683	1	False	0.022892296140817912
145739	fortune tellers	05018010	05018012	2615	3	True	0.022312096313171388
145740	fortune tellers	66022015		2412	1	False	0.02058002918063839
82319	criticism	49004029		7178	1	False	0.020066422149662297
92508	denominations	63001009		3233	1	False	0.027210598077667614
92509	denominations	46001010		3038	1	False	0.025569377346103993
92510	denominations	46001012	46001013	2771	2	True	0.023322167421347652
92511	denominations	49004004	49004005	2667	2	True	0.022446849697847056
92512	denominations	56002001		2629	1	False	0.02212702206810645
92513	denominations	40016018		2513	1	False	0.0211507061457404
92514	denominations	45016017		2493	1	False	0.020982375814297977
92515	denominations	41016016		2451	1	False	0.020628882118268892
92516	denominations	45012004	45012021	2398	18	True	0.02018280673994647
92517	denominations	40012025		2382	1	False	0.020048142474792533
305498	patience	45012012		7263	1	False	0.039522228873047835
305499	patience	48006009		5961	1	False	0.03243728573760679
305500	patience	45008025		5615	1	False	0.030554497469663166
305501	patience	49004002		4946	1	False	0.026914077379332862
305502	patience	19037007		3859	1	False	0.020999074930619796
305503	patience	46013004		3778	1	False	0.02055830657887577
198167	honoring leaders	58013017		7890	1	False	0.034371446868016256
198168	honoring leaders	54005017		6433	1	False	0.028024273472997286
198169	honoring leaders	58013007		5836	1	False	0.02542354422328807
198170	honoring leaders	45013001		5148	1	False	0.022426388907040264
198171	honoring leaders	52005012	52005013	4694	2	True	0.020448614904748835
228727	justice	23001017		5924	1	False	0.030401313763727806
228728	justice	33006008		5629	1	False	0.0288874063430155
228729	justice	30005024		5544	1	False	0.028451195730267883
228730	justice	20021015		4918	1	False	0.025238632864620754
228731	justice	23030018		4718	1	False	0.024212254952273426
334149	racism	48003028		5586	1	False	0.04317647786297304
334150	racism	44017026		4013	1	False	0.031018117734355675
334151	racism	43007024		3691	1	False	0.028529248083106605
334152	racism	45002011		3612	1	False	0.02791862478357655
334153	racism	44010034	44010035	3521	2	True	0.02721524857778877
334154	racism	43013034		3341	1	False	0.02582395498392283
334155	racism	45010012		2857	1	False	0.02208292109819441
334156	racism	66007009		2715	1	False	0.02098534504081128
231807	killing	02020013		7737	1	False	0.029458798802915038
160093	god is in control	23041010		7078	1	False	0.02752650369068268
160094	god is in control	45008028		7066	1	False	0.027479835416553237
160095	god is in control	20019021		6227	1	False	0.0242169452503364
160096	god is in control	46010013		5274	1	False	0.020510706479889864
294801	omnipresence	24023024		6742	1	False	0.021168440122702855
294802	omnipresence	20015003		6584	1	False	0.020672353866490002
346816	responsibility	48006005		2941	1	False	0.02188602300971885
384717	spiritual growth	61003018		6123	1	False	0.02303187147591302
384718	spiritual growth	50001006		5768	1	False	0.021696526975839667
72839	communicating with the dead	03019031		4965	1	False	0.035438213314490055
72840	communicating with the dead	23008019		3703	1	False	0.026430554663354817
72841	communicating with the dead	42016019	42016031	3335	13	True	0.02380391569059906
72842	communicating with the dead	03020027		3063	1	False	0.02186248688464915
72843	communicating with the dead	03020006		2895	1	False	0.020663369092738915
115036	encouragement	06001009		4097	1	False	0.024906380702266317
115037	encouragement	43016033		3628	1	False	0.022055247544013227
48273	breaking bread	44002042		7518	1	False	0.03255602468333875
48274	breaking bread	44002046		7259	1	False	0.03143444841398722
48275	breaking bread	42022019		6691	1	False	0.028974775359965357
48276	breaking bread	44020007		6626	1	False	0.028693298690050884
48277	breaking bread	42024030		5682	1	False	0.02460539136083144
48278	breaking bread	46010016		5556	1	False	0.024059759662227995
48279	breaking bread	42024035		4923	1	False	0.02131860993829165
132297	fasting	40006016	40006018	4894	3	True	0.037793840546134126
132298	fasting	29002012		4036	1	False	0.03116794859914126
132299	fasting	27010003		3828	1	False	0.029561671763506627
132300	fasting	15008023		3377	1	False	0.026078831124702686
132301	fasting	23058006		3308	1	False	0.02554597967442004
132302	fasting	44013002		3032	1	False	0.02341457387328947
132303	fasting	19069010		2993	1	False	0.023113396966607976
132304	fasting	44014023		2945	1	False	0.02274271769684614
132305	fasting	02034028		2928	1	False	0.022611435455472152
132306	fasting	17004016		2861	1	False	0.02209402897476292
132307	fasting	40006016		2797	1	False	0.0215997899484138
132308	fasting	46007005		2771	1	False	0.02139900534395947
132309	fasting	44013003		2643	1	False	0.020410527291261235
53166	business	05008018		4994	1	False	0.020917452711645752
196408	homelessness	20019017		7209	1	False	0.02681071833683545
196409	homelessness	40008020		6229	1	False	0.023166037525336112
63927	choosing friends	46015033		6287	1	False	0.045890175984116904
63928	choosing friends	20018024		5422	1	False	0.03957635345727403
63929	choosing friends	20013020		5266	1	False	0.038437675637404106
63930	choosing friends	20027017		5096	1	False	0.03719680878241765
63931	choosing friends	20017017		4947	1	False	0.036109225480105984
63932	choosing friends	20012026		4545	1	False	0.03317494032890271
63933	choosing friends	20022024	20022025	4213	2	True	0.03075160035328209
63934	choosing friends	21004009	21004010	3150	2	True	0.0229925329012197
63935	choosing friends	20016028		3115	1	False	0.02273706031342837
63936	choosing friends	20027009		3092	1	False	0.022569178327165495
40355	being taken advantage of	59001005		5451	1	False	0.02363146874065211
40356	being taken advantage of	40010016		4870	1	False	0.021112686253343563
40357	being taken advantage of	52004006		4750	1	False	0.020592455791248857
263852	marrying a divorced woman	40005032		6240	1	False	0.02861912711662294
263853	marrying a divorced woman	40019009		6040	1	False	0.027701847401346565
263854	marrying a divorced woman	42016018		6039	1	False	0.027697261002770184
263855	marrying a divorced woman	39002016		5193	1	False	0.023817167807151114
263856	marrying a divorced woman	46007039		5069	1	False	0.02324845438367976
263857	marrying a divorced woman	40005031	40005032	4931	2	True	0.02261553138013906
263858	marrying a divorced woman	46007015		4551	1	False	0.020872699921113944
263859	marrying a divorced woman	01002024		4543	1	False	0.020836008732502888
117217	entering the kingdom of god	43003005		7569	1	False	0.023641968945903653
80093	courage	06001009		4530	1	False	0.04075170248558397
80094	courage	55001007		4447	1	False	0.04000503773805561
80095	courage	05031006		4318	1	False	0.0388445587931019
80096	courage	19031024		3930	1	False	0.035354125997427155
80097	courage	46016013		3818	1	False	0.034346578386304547
80098	courage	19027014		3588	1	False	0.03227750739917777
80099	courage	43014027		2707	1	False	0.024352065922400842
80100	courage	13028020		2558	1	False	0.023011667761175233
80101	courage	19023004		2338	1	False	0.0210325563821844
80102	courage	20003005	20003006	2238	2	True	0.02013296030082493
290784	obeying authority	45013001		5252	1	False	0.02742071903682897
290785	obeying authority	58013017		5030	1	False	0.02626165589399271
290786	obeying authority	56003001		3854	1	False	0.020121753840049286
445214	water	43004014		5097	1	False	0.02174450947936042
61616	child sacrifice	03018021		4360	1	False	0.03735819309730267
61617	child sacrifice	05012031		3313	1	False	0.028387085718202695
61618	child sacrifice	12023010		2486	1	False	0.021301024779792302
61619	child sacrifice	12016003		2436	1	False	0.020872605134181033
61620	child sacrifice	24007031		2366	1	False	0.020272817630325256
61621	child sacrifice	05018010		2355	1	False	0.020178565308290777
307330	peace of mind	43014027		3352	1	False	0.027549477283187587
307331	peace of mind	43016033		3330	1	False	0.027368663291472153
307332	peace of mind	23026003		3329	1	False	0.02736044447366691
307333	peace of mind	50004006	50004007	3040	2	True	0.024985206127950556
307334	peace of mind	45008006		2680	1	False	0.022026431718061675
81814	creativity	49002010		6434	1	False	0.04127136854934411
81815	creativity	01001027		4866	1	False	0.03121331665544116
81816	creativity	01001001		4648	1	False	0.02981493954264088
81817	creativity	51003023		4238	1	False	0.027184964238750442
81818	creativity	20022029		4205	1	False	0.02697328329965682
81819	creativity	02035035		4039	1	False	0.02590846403027679
81820	creativity	02035031	02035032	3659	2	True	0.023470925943744187
81821	creativity	45012002		3639	1	False	0.023342634465505628
81822	creativity	19104024		3431	1	False	0.022008403091824627
81823	creativity	45012006		3266	1	False	0.02094999839635652
81824	creativity	54004014		3180	1	False	0.020398345039930724
81825	creativity	45001020		3118	1	False	0.020000641457391194
95043	disabled people	02004011		5021	1	False	0.0351396558119353
95044	disabled people	03019014		4999	1	False	0.03498568799120984
95045	disabled people	47012009		3457	1	False	0.024193943465815645
95046	disabled people	43009002	43009007	3140	6	True	0.021975407139907758
95047	disabled people	45005003	45005005	3040	3	True	0.02127555340933745
7418	adversity	45008028		3019	1	False	0.03316452637013764
7419	adversity	20024010		2674	1	False	0.029374608649800616
7420	adversity	59001002	59001004	2462	3	True	0.0270457316738254
7421	adversity	47004008	47004009	2202	2	True	0.024189561797629378
7422	adversity	60005010		2015	1	False	0.022135316540519163
7423	adversity	45012002		1931	1	False	0.021212553965132757
347147	rest	19004008		5899	1	False	0.030613145125716806
347148	rest	40011028	40011030	4959	3	True	0.025734969770881445
347149	rest	40011028		4848	1	False	0.025158929915150886
347150	rest	19127002		4557	1	False	0.023648771374451854
347151	rest	02033014		4226	1	False	0.021931030903759828
347152	rest	41006031		4190	1	False	0.021744207166766134
207046	husbands role	49005025		3964	1	False	0.027724157224786685
207047	husbands role	51003019		3903	1	False	0.027297524129248844
207048	husbands role	60003007		3899	1	False	0.02726954818855784
207049	husbands role	54005008		3271	1	False	0.02287732550006994
207050	husbands role	49005023		3260	1	False	0.022800391663169675
207051	husbands role	49006004		3007	1	False	0.021030913414463562
207052	husbands role	49005033		2975	1	False	0.020807105888935515
207053	husbands role	49005028		2868	1	False	0.020058749475451113
116327	end-time people	55003001	55003005	3244	5	True	0.024693801429561006
116328	end-time people	54004001		2829	1	False	0.021534760864435294
166755	gods love for us	43003016		7512	1	False	0.03963802337545841
166756	gods love for us	45005008		5725	1	False	0.030208690604965307
166757	gods love for us	36003017		5125	1	False	0.027042714297021344
166758	gods love for us	62003001		4378	1	False	0.023101073793631112
166759	gods love for us	48002020		4030	1	False	0.021264807535023612
166760	gods love for us	62004019		3898	1	False	0.02056829274727594
166761	gods love for us	19086015		3889	1	False	0.020520803102656783
343151	renewal	23040031		3330	1	False	0.033534743202416915
343152	renewal	45012002		3123	1	False	0.031450151057401815
343153	renewal	47005017		3088	1	False	0.03109768378650554
343154	renewal	19051010		2164	1	False	0.021792547834843908
